solar_all_sky_kwh_m2_day,solar_clear_sky_kwh_m2_day,clearness_index,temperature_mean_c,temperature_max_c,temperature_min_c,relative_humidity_pct,wind_speed_10m_m_s,wind_direction_10m_deg,surface_pressure_kpa,TS,T2MDEW,T2MWET,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,precipitation_mm,date,pm25_ug_m3,year,month,day_of_week,day_of_year,wet_season,pm25_lag_1,pm25_lag_2,pm25_lag_3,pm25_lag_7,pm25_lag_14,temperature_mean_c_lag_1,relative_humidity_pct_lag_1,precipitation_mm_lag_1,wind_speed_10m_m_s_lag_1,solar_all_sky_kwh_m2_day_lag_1,pm25_rolling_mean_3,pm25_rolling_std_3,pm25_rolling_mean_7,pm25_rolling_std_7,pm25_rolling_mean_14,pm25_rolling_std_14,dry_day,solar_clear_sky_ratio,target_pm25_next_day
7.3608,8.197,0.64,28.12,28.9,27.29,83.51,4.56,39.1,100.74,28.77,25.07,26.59,6.2839,2.3153,3.4,2021-01-15,3.4836986,2021,1,4,15,1,6.51098,6.8609295,6.189083,6.024031,6.255171,27.92,83.96,2.66,4.01,6.2544,6.520330905914307,0.33602078898515014,6.393657888684954,0.6405454870755337,6.778212998594556,3.042146270224207,0,0.8979870684396731,4.9836617
7.0231,8.1648,0.61,28.15,28.95,27.35,80.86,4.35,26.9,100.79,28.59,24.55,26.35,6.4834,2.1252,16.23,2021-01-16,4.9836617,2021,1,5,16,1,3.4836986,6.51098,6.8609295,5.3527493,9.44728,28.12,83.51,3.4,4.56,7.3608,5.618536074956258,1.8570849202970239,6.0307532378605435,1.282649064377259,6.580250697476523,3.1664358272699404,0,0.8601680384087792,4.9729323
6.762,8.1499,0.59,27.85,28.28,27.3,80.98,2.96,65.3,100.9,28.83,24.3,26.07,6.7418,2.2195,12.57,2021-01-17,4.9729323,2021,1,6,17,1,4.9836617,3.4836986,6.51098,6.441617,13.898806,28.15,80.86,16.23,4.35,7.0231,4.992780129114787,1.5136613605662175,5.97802642413548,1.322143614916769,6.261420820440565,3.0790634330356745,0,0.8297034319439501,4.790714
7.2533,8.1566,0.63,28.09,28.76,27.49,77.54,2.2,70.2,100.92,29.13,23.8,25.94,7.1179,2.0105,4.03,2021-01-18,4.790714,2021,1,0,18,1,4.9729323,4.9836617,3.4836986,7.376215,10.430398,27.85,80.98,12.57,2.96,6.762,4.480097532272339,0.8629234577946845,5.768214327948434,1.3524996924346884,5.623858443328312,2.1641833803965125,0,0.8892553269744747,6.5209637
7.063,8.171,0.61,28.12,28.96,27.5,79.21,2.97,95.2,100.94,29.22,24.19,26.16,7.2106,1.9166,1.56,2021-01-19,6.5209637,2021,1,1,19,1,4.790714,4.9729323,4.9836617,6.189083,5.931973,28.09,77.54,4.03,2.2,7.2533,4.915769259134929,0.10843400231102816,5.398857014519828,1.1825396357180336,5.221023857593536,1.6688875597729154,0,0.8643984824378901,1.2944028
6.7212,8.1574,0.59,28.04,28.89,26.97,80.76,2.55,23.9,100.77,29.55,24.44,26.24,5.4946,2.1739,2.66,2021-01-20,1.2944028,2021,1,2,20,1,6.5209637,4.790714,4.9729323,6.8609295,2.6623645,28.12,79.21,1.56,2.97,7.063,5.428203264872233,0.9507338615366764,5.4462685244424005,1.2253796051166328,5.263094621045249,1.695401688338605,0,0.8239390001716231,3.4601727
5.5457,8.0885,0.48,28.65,29.38,27.89,80.18,3.85,325.1,100.6,29.41,24.91,26.78,2.689,2.7156,7.24,2021-01-21,3.4601727,2021,1,3,21,1,1.2944028,6.5209637,4.790714,6.51098,1.5133849,28.04,80.76,2.66,2.55,6.7212,4.202026764551799,2.6625455560586144,4.651050431387765,1.8174822964036408,5.1653830749647955,1.8855744090035922,0,0.6856277430920443,3.6085765
4.8907,8.1046,0.43,28.1,28.84,27.36,82.77,2.16,340.5,100.62,29.34,24.91,26.51,1.2384,3.264,10.94,2021-01-22,3.6085765,2021,1,4,22,1,3.4601727,1.2944028,6.5209637,3.4836986,6.024031,28.65,80.18,7.24,3.85,5.5457,3.7585130532582602,2.626021663267389,4.215220791952951,1.6557309798495057,5.304439340318952,1.6529698270162805,0,0.6034474249191817,5.1680403
4.5775,8.1122,0.4,28.31,29.03,27.56,81.77,3.46,34.5,100.66,29.21,24.91,26.61,1.4424,3.0485,6.58,2021-01-23,5.1680403,2021,1,5,23,1,3.6085765,3.4601727,1.2944028,4.9836617,5.3527493,28.1,82.77,10.94,2.16,4.8907,2.787717342376709,1.2953752681790391,4.233060496194022,1.647186248612549,5.131906867027283,1.6975415285922395,0,0.5642735632750672,4.686214
4.3567,8.0081,0.38,27.36,27.75,26.91,84.65,3.93,66.5,100.53,28.86,24.57,25.97,0.3187,3.1334,26.82,2021-01-24,4.686214,2021,1,6,24,1,5.1680403,3.6085765,3.4601727,4.9729323,6.441617,28.31,81.77,6.58,3.46,4.5775,4.0789298216501875,0.9461115757430912,4.259400299617222,1.6625915424588515,5.118713361876352,1.6964104954669073,0,0.5440366628788351,3.8843987
5.964,8.0542,0.52,27.84,28.66,26.71,82.89,2.9,50.7,100.22,29.28,24.68,26.26,1.8094,3.787,19.84,2021-01-25,3.8843987,2021,1,0,25,1,4.686214,5.1680403,3.6085765,4.790714,7.376215,27.36,84.65,26.82,3.93,4.3567,4.487610260645549,0.7984762762311701,4.218440532684326,1.6455273644715618,4.99332743031638,1.655489474660906,0,0.7404832261428821,5.204239
