order,p,d,q,MAE,RMSE,R2,sMAPE_percent,AIC,BIC
"(1, 0, 1)",1,0,1,1.4506585356413073,2.0458460982382296,0.2675537871214192,28.518610730423617,2795.435358543439,2871.09335571989
"(1, 0, 2)",1,0,2,1.4575285756318594,2.0489591814063735,0.26532302225784277,28.563529482847017,2790.422933677094,2870.5029427717377
"(2, 0, 0)",2,0,0,1.4532150521050202,2.0502420736030986,0.2644027438720823,28.566816637822694,2795.962286925389,2871.62028410184
"(2, 0, 2)",2,0,2,1.4608163840441122,2.0511821818947973,0.2637279946444392,28.596195081163028,2791.851875930217,2876.380774419007
"(3, 0, 0)",3,0,0,1.4665986028830427,2.055792269970676,0.26041469250120175,28.69595635070754,2789.00632904478,2869.086338139424
"(1, 0, 0)",1,0,0,1.4646165374488032,2.060544700500627,0.25699130142473303,28.76529628008846,2798.2540813334153,2869.486864604411
"(2, 0, 1)",2,0,1,1.4277918787966142,2.0653726111503494,0.25350544447041057,28.235512759932668,2789.251185751039,2869.3596533496343
"(0, 0, 1)",0,0,1,1.5577923591289093,2.14076616739952,0.19801123816068467,30.45398570154005,2818.36714658664,2889.574673340947
"(1, 1, 1)",1,1,1,1.4708407670848909,2.163858976339468,0.18061553781480422,29.244248301423738,2779.0251495295847,2854.6562692300813
"(0, 1, 1)",0,1,1,1.5821975875901,2.173756154360584,0.1731029041046761,31.044938586426625,2864.324689685801,2935.5069199921504
"(1, 1, 0)",1,1,0,1.6087302182073104,2.2812270684975173,0.08931779620290792,32.472244993178506,2933.57713648777,3004.784663242077
"(0, 0, 0)",0,0,0,1.7370410637798832,2.313932680139652,0.06301798038893802,33.47593068984157,2933.1809096809716,2999.96164399753
