feature,importance
pm25_lag_1,0.14232616
pm25_rolling_mean_3,0.14218281
wind_speed_10m_m_s,0.05423469
pm25_previous_day_change,0.048452735
pm25_lag_2,0.042701647
temperature_max_c,0.040533375
temperature_mean_c,0.038733207
pm25_rolling_mean_14,0.036029354
precipitation_mm,0.033639416
shortwave_radiation_kwh_m2_day,0.03363875
surface_pressure_kpa,0.031133274
relative_humidity_pct,0.030320225
pm25_lag_14,0.02942213
wind_direction_sin,0.028725035
pm25_lag_7,0.028279334
wind_direction_cos,0.027181698
day_of_year_sin,0.02677852
temperature_min_c,0.02556439
pm25_rolling_std_14,0.025182815
pm25_rolling_mean_7,0.023445645
day_of_year_cos,0.021350063
pm25_3day_vs_14day,0.02001836
pm25_rolling_std_3,0.019997027
pm25_rolling_std_7,0.019405741
pm25_lag_3,0.016356114
month_sin,0.014367431
day_of_week_sin,0.0
month_cos,0.0
wet_season,0.0
day_of_week_cos,0.0
