candidate,best_iteration,number_of_trees,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,MAE,RMSE,R2,sMAPE_percent
7,88,89,3,0.03,5,0.8,0.8,0.1,5.0,1.4826126047383252,2.068670009067372,0.25111996256613767,29.238701506060146
10,218,219,4,0.03,5,0.9,0.9,0.1,10.0,1.4381024044895172,2.070312281532109,0.24993045119782964,28.2087598140926
8,81,82,3,0.03,10,0.9,0.9,0.5,10.0,1.5004406839052984,2.087878189329989,0.23714827513822745,29.43040847978541
6,37,38,3,0.05,1,0.8,0.8,0.0,1.0,1.5171601996601103,2.1034225764778856,0.2257470309210533,29.88085562639587
1,245,246,2,0.01,1,0.8,0.8,0.0,1.0,1.5143202994396883,2.10753652616069,0.22271544545305644,29.68069853666267
2,82,83,2,0.03,1,0.8,0.8,0.0,1.0,1.5264753135909808,2.111440465771838,0.21983313958750395,29.86690966037789
3,54,55,2,0.05,5,1.0,1.0,0.1,5.0,1.5280267948679755,2.1153623677926885,0.21693220091906373,29.7806308098068
9,71,72,4,0.03,1,0.8,0.8,0.0,1.0,1.5551472427532869,2.125113024617779,0.2096965395009911,30.48502036008699
4,242,243,3,0.01,1,0.8,0.8,0.0,1.0,1.541144765733988,2.1255297618512707,0.2093865501810932,30.195612955235347
5,56,57,3,0.03,1,0.8,0.8,0.0,1.0,1.5484819077793346,2.1361364614351004,0.2014763127681034,30.43362459932981
