month_name,mean_pm25,median_pm25,maximum_pm25,mean_aqi,number_of_days
January,5.627652781451613,5.5494277499999995,13.898806,30.491935483870968,124
February,5.6726231203539825,5.249472,15.831332,30.424778761061948,113
March,5.841246679032258,5.5846491,20.23964,31.129032258064516,124
April,4.9819673985833335,4.960171000000001,11.176923,27.333333333333332,120
May,6.359410146774193,5.4496851,16.41038,33.67741935483871,124
June,5.9727071700000005,5.683823,12.365092,32.2,120
July,5.812703394174757,5.6413684,10.816691,31.883495145631066,103
August,6.655364313978494,6.0968046,15.369352,35.31182795698925,93
September,6.2276447,6.0684755,13.61488,33.922222222222224,90
October,6.790306659139785,6.312625,14.561991,36.26881720430107,93
November,4.7751024016666666,4.61293055,9.849636,26.177777777777777,90
December,5.195909156989247,5.0064273,10.871908,28.43010752688172,93
